Date,Close/Last,Volume,Open,High,Low
04/13/2026,$28.05,20312910,$27.95,$28.19,$27.585
04/10/2026,$27.93,18153940,$28.42,$28.47,$27.825
04/09/2026,$28.31,24209090,$27.82,$28.32,$27.63
04/08/2026,$27.96,23123140,$27.79,$28.085,$27.66
04/07/2026,$27.79,37148460,$27.73,$27.925,$27.48
04/06/2026,$27.66,19631440,$27.99,$28.17,$27.63
04/02/2026,$27.93,25105400,$28.04,$28.1576,$27.575
04/01/2026,$28.05,27163520,$28.23,$28.39,$27.75
03/31/2026,$28.71,28734150,$29.28,$29.29,$28.365
03/30/2026,$28.90,32458450,$28.61,$29.23,$28.38
03/27/2026,$28.33,19776200,$28.70,$28.815,$28.26
03/26/2026,$28.72,28571180,$28.73,$29.15,$28.61
03/25/2026,$28.73,22266830,$29.16,$29.42,$28.61
03/24/2026,$29.22,21804240,$29.04,$29.705,$28.93
03/23/2026,$29.01,31505510,$29.125,$29.385,$28.83
03/20/2026,$29.02,246107100,$28.925,$29.515,$28.84
03/19/2026,$28.98,36163230,$28.785,$29.34,$28.71
03/18/2026,$28.57,36334080,$29.94,$30.11,$28.53
03/17/2026,$30.08,24221970,$30.595,$30.785,$30.045
03/16/2026,$30.34,19653230,$30.16,$30.559,$30.06
03/13/2026,$30.16,20252810,$30.33,$30.55,$30.105
03/12/2026,$30.16,23947580,$30.33,$30.565,$30.00
03/11/2026,$30.57,23702940,$31.06,$31.33,$30.26
03/10/2026,$31.07,21238690,$30.94,$31.175,$30.55
03/09/2026,$31.04,45897400,$31.64,$31.76,$30.47
03/06/2026,$31.91,23119080,$31.39,$31.97,$30.99
03/05/2026,$31.60,24204230,$31.935,$32.40,$31.47
03/04/2026,$32.09,28509100,$30.85,$32.14,$30.63
03/03/2026,$31.01,27217370,$30.68,$31.36,$30.27
03/02/2026,$30.82,22490290,$30.74,$31.06,$30.525
02/27/2026,$30.96,34865660,$30.71,$31.175,$30.385
02/26/2026,$30.85,25477970,$30.86,$31.215,$30.805
02/25/2026,$30.79,32273600,$31.595,$31.77,$30.69
02/24/2026,$31.61,20735370,$31.48,$31.85,$31.36
02/23/2026,$31.63,19564620,$31.365,$31.82,$31.26
02/20/2026,$31.34,25242160,$31.29,$31.445,$30.79
02/19/2026,$31.38,25767770,$31.57,$31.755,$31.205
02/18/2026,$31.60,20768590,$31.615,$31.82,$31.335
02/17/2026,$31.55,28089710,$31.665,$31.945,$31.4601
02/13/2026,$31.57,28487890,$31.70,$31.88,$31.12
02/12/2026,$31.82,34309390,$32.70,$32.855,$31.81
02/11/2026,$32.48,27355270,$32.29,$32.835,$32.275
02/10/2026,$32.31,32111380,$31.585,$32.385,$31.525
02/09/2026,$31.61,24316870,$31.10,$31.675,$30.76
02/06/2026,$31.37,30791610,$30.81,$31.43,$30.77
02/05/2026,$30.85,30243790,$30.53,$30.94,$30.35
02/04/2026,$30.50,41031050,$30.01,$31.13,$29.92
02/03/2026,$29.76,37200840,$29.64,$30.275,$29.53
02/02/2026,$29.59,31343420,$29.62,$29.93,$29.40
01/30/2026,$29.75,51300240,$29.64,$29.85,$28.895
01/29/2026,$29.24,65923410,$27.625,$30.11,$27.58
01/28/2026,$28.41,46428770,$28.83,$29.095,$28.235
01/27/2026,$28.70,40826450,$29.335,$29.42,$28.63
01/26/2026,$29.43,43266690,$29.29,$29.50,$29.155
01/23/2026,$29.30,29380160,$28.982,$29.33,$28.755
01/22/2026,$29.23,35617740,$28.88,$29.44,$28.865
01/21/2026,$28.89,44865450,$28.085,$29.01,$28.085
01/20/2026,$28.16,50568320,$27.825,$28.575,$27.685
01/16/2026,$27.82,38596940,$28.25,$28.38,$27.555
01/15/2026,$28.35,31081580,$28.405,$28.55,$28.19
01/14/2026,$28.42,27336250,$28.052,$28.535,$28.03
01/13/2026,$28.48,35155020,$28.90,$29.25,$28.395
01/12/2026,$29.06,40310240,$28.74,$29.32,$28.485
01/09/2026,$28.37,22315320,$28.13,$28.55,$27.78
