Date,Close/Last,Volume,Open,High,Low
04/13/2026,$34.27,483683,$34.11,$34.46,$33.88
04/10/2026,$36.48,280551,$36.60,$36.80,$36.35
04/09/2026,$36.57,546661,$36.39,$36.78,$36.345
04/08/2026,$36.56,489345,$36.43,$36.90,$36.17
04/07/2026,$35.72,900079,$35.73,$35.91,$35.465
04/06/2026,$36.99,256944,$36.90,$37.08,$36.69
04/02/2026,$36.71,504885,$36.00,$37.21,$35.72
04/01/2026,$37.16,261510,$37.56,$37.65,$36.83
03/31/2026,$37.08,406958,$37.12,$37.44,$36.67
03/30/2026,$36.84,365613,$36.67,$37.00,$36.54
03/27/2026,$36.51,506141,$36.27,$36.78,$36.14
03/26/2026,$36.68,233674,$36.89,$37.13,$36.66
03/25/2026,$37.27,356226,$37.07,$38.00,$37.02
03/24/2026,$37.44,346863,$36.74,$37.68,$36.68
03/23/2026,$36.6843,415044,$36.59,$37.32,$36.37
03/20/2026,$36.45,303017,$37.02,$37.12,$36.33
03/19/2026,$37.23,383677,$37.11,$37.42,$36.70
03/18/2026,$37.02,577795,$37.55,$37.55,$37.01
03/17/2026,$38.30,778710,$38.41,$38.67,$38.20
03/16/2026,$38.01,308736,$38.27,$38.31,$37.465
03/13/2026,$38.03,364611,$38.22,$38.4395,$37.96
03/12/2026,$37.66,267807,$37.48,$37.85,$37.38
03/11/2026,$37.75,226224,$37.63,$37.90,$37.58
03/10/2026,$37.97,477222,$37.73,$38.35,$37.62
03/09/2026,$37.98,838972,$37.88,$38.21,$37.28
03/06/2026,$38.20,694093,$37.68,$38.23,$37.52
03/05/2026,$38.35,601064,$38.55,$38.55,$38.13
03/04/2026,$38.52,475353,$38.51,$38.62,$38.22
03/03/2026,$38.24,775622,$37.49,$38.41,$37.45
03/02/2026,$38.62,475767,$39.508,$39.56,$38.55
02/27/2026,$40.28,293978,$40.06,$40.58,$40.06
02/26/2026,$38.923,452957,$39.10,$39.26,$38.73
02/25/2026,$39.57,402354,$39.52,$39.81,$39.50
02/24/2026,$39.34,327444,$39.61,$39.78,$39.26
02/23/2026,$39.16,398458,$38.94,$39.4099,$38.87
02/20/2026,$38.72,335093,$38.54,$38.73,$38.36
02/19/2026,$38.34,306423,$38.24,$38.67,$38.19
02/18/2026,$38.196,545716,$38.95,$39.12,$38.15
02/17/2026,$39.56,463813,$39.25,$39.64,$39.09
02/13/2026,$38.41,424440,$38.39,$38.50,$38.02
02/12/2026,$38.12,520178,$37.77,$38.34,$37.70
02/11/2026,$36.23,373853,$35.63,$36.61,$35.13
02/10/2026,$36.12,350331,$36.00,$36.13,$35.88
02/09/2026,$36.385,281338,$36.09,$36.42,$35.84
02/06/2026,$35.8665,327652,$36.12,$36.12,$35.81
02/05/2026,$36.10,335000,$35.87,$36.25,$35.70
02/04/2026,$35.88,357538,$35.97,$35.996,$35.67
02/03/2026,$34.16,386116,$33.49,$34.20,$33.47
02/02/2026,$33.92,384543,$34.15,$34.192,$33.82
01/30/2026,$33.41,334007,$33.10,$33.5699,$33.10
01/29/2026,$33.04,314418,$32.87,$33.05,$32.72
01/28/2026,$32.56,310239,$32.16,$32.65,$32.12
01/27/2026,$32.62,376627,$32.54,$32.71,$32.26
01/26/2026,$32.061,305524,$32.21,$32.36,$31.914
01/23/2026,$32.09,353836,$31.38,$32.10,$31.28
01/22/2026,$31.68,547747,$31.63,$31.85,$31.4901
01/21/2026,$31.03,491137,$30.72,$31.18,$30.72
01/20/2026,$31.47,781907,$31.50,$31.61,$31.36
01/16/2026,$31.43,404701,$32.05,$32.07,$31.32
01/15/2026,$32.24,384958,$32.25,$32.43,$32.13
01/14/2026,$32.665,940985,$32.40,$32.805,$32.24
01/13/2026,$32.56,1098785,$33.17,$33.32,$32.50
01/12/2026,$33.41,423240,$33.66,$33.70,$33.39
01/09/2026,$33.06,340758,$32.87,$33.17,$32.85
01/08/2026,$32.90,365010,$32.64,$33.0376,$32.64
01/07/2026,$31.90,322797,$32.12,$32.15,$31.86
01/06/2026,$32.19,388457,$32.46,$32.53,$32.06
01/05/2026,$32.26,525660,$32.50,$32.51,$32.01
01/02/2026,$32.65,375593,$32.62,$32.76,$32.44
12/31/2025,$32.70,193598,$32.79,$32.79,$32.44
12/30/2025,$32.72,369218,$32.63,$32.86,$32.27
12/29/2025,$32.72,366504,$32.57,$32.85,$32.52
12/26/2025,$32.56,254025,$32.40,$32.56,$32.2001
12/24/2025,$32.48,130019,$32.00,$32.85,$32.00
12/23/2025,$32.41,335235,$32.16,$32.53,$32.16
12/22/2025,$32.19,489421,$32.09,$32.36,$32.09
12/19/2025,$32.08,578438,$32.045,$32.24,$31.922
12/18/2025,$32.09,525828,$31.90,$32.23,$31.855
12/17/2025,$31.86,384547,$31.36,$31.98,$31.36
12/16/2025,$31.51,1397897,$31.46,$31.583,$31.378
12/15/2025,$31.30,1441164,$31.38,$31.48,$31.19
12/12/2025,$31.54,1932260,$31.4501,$31.61,$31.3941
12/11/2025,$31.67,622370,$31.38,$31.73,$31.38
12/10/2025,$31.42,467148,$31.33,$31.44,$31.25
12/09/2025,$31.31,460743,$31.75,$31.78,$31.20
