Date,Close/Last,Volume,Open,High,Low
04/13/2026,$45.42,32920880,$46.09,$46.09,$45.04
04/10/2026,$46.04,25248610,$47.09,$47.10,$45.945
04/09/2026,$47.78,29376860,$47.81,$48.17,$47.255
04/08/2026,$48.04,34143160,$47.88,$48.16,$47.12
04/07/2026,$48.62,21945900,$49.10,$49.23,$48.53
04/06/2026,$49.15,17542710,$49.40,$49.73,$49.03
04/02/2026,$49.40,22737820,$49.81,$49.90,$49.28
04/01/2026,$49.39,28398950,$50.07,$50.17,$49.17
03/31/2026,$50.20,30514920,$50.545,$50.545,$49.74
03/30/2026,$50.30,23797570,$50.87,$50.92,$50.15
03/27/2026,$50.31,26273380,$51.00,$51.45,$50.28
03/26/2026,$50.74,24423280,$50.57,$51.245,$50.425
03/25/2026,$50.37,21920210,$50.65,$50.83,$50.285
03/24/2026,$50.91,20264600,$50.55,$51.68,$50.48
03/23/2026,$50.58,26390330,$50.035,$50.75,$49.62
03/20/2026,$49.98,67321760,$49.74,$50.455,$49.49
03/19/2026,$49.48,31234720,$49.59,$50.29,$48.91
03/18/2026,$49.59,32972510,$50.365,$50.48,$49.375
03/17/2026,$50.52,23765210,$51.30,$51.30,$50.3645
03/16/2026,$50.97,20017550,$51.36,$51.46,$50.75
03/13/2026,$51.38,21780860,$50.95,$51.665,$50.95
03/12/2026,$50.63,26296080,$50.45,$50.95,$49.805
03/11/2026,$50.68,21560010,$50.88,$50.88,$50.06
03/10/2026,$50.71,20031280,$50.31,$50.82,$50.02
03/09/2026,$50.45,29057380,$51.00,$51.0988,$50.36
03/06/2026,$51.12,23562630,$51.09,$51.25,$50.405
03/05/2026,$51.18,27534310,$50.97,$51.3157,$50.34
03/04/2026,$51.20,22816000,$50.41,$51.41,$50.15
03/03/2026,$50.87,31586880,$49.73,$51.0951,$49.37
03/02/2026,$49.98,23725650,$49.98,$50.26,$49.625
02/27/2026,$50.14,34693550,$49.36,$50.15,$49.23
02/26/2026,$48.89,23662580,$49.26,$49.49,$48.87
02/25/2026,$49.23,21692950,$49.65,$49.845,$49.165
02/24/2026,$49.86,23816680,$49.78,$50.08,$49.39
02/23/2026,$49.68,30112950,$49.35,$50.475,$49.25
02/20/2026,$49.25,25456730,$49.03,$49.335,$48.525
02/19/2026,$48.64,26530560,$48.89,$49.15,$48.49
02/18/2026,$48.05,29318150,$48.64,$48.95,$47.83
02/17/2026,$48.93,24327480,$49.30,$49.50,$48.78
02/13/2026,$49.01,31998470,$49.16,$49.43,$48.6255
02/12/2026,$49.46,56131120,$48.90,$50.24,$48.90
02/11/2026,$48.97,48933100,$47.18,$49.135,$47.17
02/10/2026,$47.39,32146950,$47.02,$47.79,$46.77
02/09/2026,$47.02,26954790,$46.16,$47.07,$45.822
02/06/2026,$46.31,36094610,$46.97,$47.25,$46.06
02/05/2026,$47.10,42866480,$47.21,$47.575,$46.6506
02/04/2026,$47.01,46213110,$46.775,$47.55,$46.173
02/03/2026,$46.25,60299140,$44.64,$46.76,$44.50
02/02/2026,$44.61,64539380,$44.575,$45.48,$43.875
01/30/2026,$44.52,123584700,$42.005,$44.63,$41.38
01/29/2026,$39.81,44347550,$39.58,$40.30,$39.48
01/28/2026,$39.41,24412510,$39.41,$39.86,$39.36
